Year,Sport,Event,Country,Medal Rank,Lat,Lon
1924,Ski Jumping,"Men's Normal Hill, Individual",Norway,2,59.91666667,10.75
1924,Speedskating,Men's 500 Meters,Norway,2,59.91666667,10.75
1924,Speedskating,Men's 500 Meters,Norway,3,59.91666667,10.75
1924,Speedskating,"Men's 1,500 Meters",Norway,2,59.91666667,10.75
1924,Speedskating,"Men's 1,500 Meters",Norway,3,59.91666667,10.75
1924,Speedskating,"Men's 5,000 Meters",Norway,3,59.91666667,10.75
1924,Speedskating,"Men's 10,000 Meters",Norway,3,59.91666667,10.75
1924,Speedskating,Men's Allround,Norway,2,59.91666667,10.75
1924,Curling,Men's Curling,Sweden,2,59.33333333,18.05
1924,Figure Skating,Men's Singles,Sweden,1,59.33333333,18.05
1924,Bobsled,Men's Four/Five,Switzerland,1,46.91666667,7.466667
1924,Figure Skating,Men's Singles,Switzerland,3,46.91666667,7.466667
1924,Biathlon,Men's Military Ski Patrol,Switzerland,1,46.91666667,7.466667
1924,Figure Skating,Women's Singles,United States,2,38.9072,77.0369
1924,Ice Hockey,Men's Ice Hockey,United States,2,38.9072,77.0369
1924,Ski Jumping,"Men's Normal Hill, Individual",United States,3,38.9072,77.0369
1924,Speedskating,Men's 500 Meters,United States,1,38.9072,77.0369
1928,Figure Skating,Men's Singles,Austria,2,48.2,16.366667
1928,Figure Skating,Mixed Pairs,Austria,2,48.2,16.366667
1928,Figure Skating,Mixed Pairs,Austria,3,48.2,16.366667
1928,Figure Skating,Women's Singles,Austria,2,48.2,16.366667
1928,Figure Skating,Men's Singles,Belgium,3,50.83333333,4.333333
1928,Ice Hockey,Men's Ice Hockey,Canada,1,45.41666667,-75.7
1928,Ski Jumping,"Men's Normal Hill, Individual",Czechoslovakia,3,50.08333333,14.466667
1928,Speedskating,Men's 500 Meters,Finland,1,60.16666667,24.933333
1928,Speedskating,Men's 500 Meters,Finland,3,60.16666667,24.933333
1928,Speedskating,"Men's 1,500 Meters",Finland,1,60.16666667,24.933333
1928,Speedskating,"Men's 5,000 Meters",Finland,2,60.16666667,24.933333
1928,Figure Skating,Mixed Pairs,France,1,48.86666667,2.333333
1928,Bobsled,Men's Four/Five,Germany,3,52.51666667,13.4
1928,Skeleton,Men's Skeleton,Great Britain,3,51.5,-0.083333
1928,Cross-Country Skiing,Men's 18 Kilometers,Norway,1,59.91666667,10.75
1928,Cross-Country Skiing,Men's 18 Kilometers,Norway,2,59.91666667,10.75
1928,Cross-Country Skiing,Men's 18 Kilometers,Norway,3,59.91666667,10.75
1928,Figure Skating,Women's Singles,Norway,1,59.91666667,10.75
1928,Nordic Combined,Men's Individual,Norway,1,59.91666667,10.75
1928,Nordic Combined,Men's Individual,Norway,2,59.91666667,10.75
1928,Nordic Combined,Men's Individual,Norway,3,59.91666667,10.75
1928,Ski Jumping,"Men's Normal Hill, Individual",Norway,1,59.91666667,10.75
1928,Ski Jumping,"Men's Normal Hill, Individual",Norway,2,59.91666667,10.75
1928,Speedskating,Men's 500 Meters,Norway,1,59.91666667,10.75
1928,Speedskating,Men's 500 Meters,Norway,3,59.91666667,10.75
1928,Speedskating,"Men's 1,500 Meters",Norway,2,59.91666667,10.75
1928,Speedskating,"Men's 1,500 Meters",Norway,3,59.91666667,10.75
1928,Speedskating,"Men's 5,000 Meters",Norway,1,59.91666667,10.75
1928,Speedskating,"Men's 5,000 Meters",Norway,3,59.91666667,10.75
1928,Cross-Country Skiing,Men's 50 Kilometers,Sweden,1,59.33333333,18.05
1928,Cross-Country Skiing,Men's 50 Kilometers,Sweden,2,59.33333333,18.05
1928,Cross-Country Skiing,Men's 50 Kilometers,Sweden,3,59.33333333,18.05
1928,Figure Skating,Men's Singles,Sweden,1,59.33333333,18.05
1928,Ice Hockey,Men's Ice Hockey,Sweden,2,59.33333333,18.05
1928,Ice Hockey,Men's Ice Hockey,Switzerland,3,46.91666667,7.466667
1928,Bobsled,Men's Four/Five,United States,1,38.9072,77.0369
1928,Bobsled,Men's Four/Five,United States,2,38.9072,77.0369
1928,Figure Skating,Women's Singles,United States,3,38.9072,77.0369
1928,Skeleton,Men's Skeleton,United States,1,38.9072,77.0369
1928,Skeleton,Men's Skeleton,United States,2,38.9072,77.0369
1928,Speedskating,Men's 500 Meters,United States,3,38.9072,77.0369
1932,Figure Skating,Men's Singles,Austria,1,48.2,16.366667
1932,Figure Skating,Women's Singles,Austria,2,48.2,16.366667
1932,Figure Skating,Men's Singles,Canada,3,45.41666667,-75.7
1932,Ice Hockey,Men's Ice Hockey,Canada,1,45.41666667,-75.7
1932,Speedskating,Men's 500 Meters,Canada,3,45.41666667,-75.7
1932,Speedskating,"Men's 1,500 Meters",Canada,2,45.41666667,-75.7
1932,Speedskating,"Men's 1,500 Meters",Canada,3,45.41666667,-75.7
1932,Speedskating,"Men's 5,000 Meters",Canada,3,45.41666667,-75.7
1932,Speedskating,"Men's 10,000 Meters",Canada,3,45.41666667,-75.7
1932,Cross-Country Skiing,Men's 18 Kilometers,Finland,3,60.16666667,24.933333
1932,Cross-Country Skiing,Men's 50 Kilometers,Finland,1,60.16666667,24.933333
1932,Cross-Country Skiing,Men's 50 Kilometers,Finland,2,60.16666667,24.933333
1932,Figure Skating,Mixed Pairs,France,1,48.86666667,2.333333
1932,Bobsled,Men's Four,Germany,3,52.51666667,13.4
1932,Ice Hockey,Men's Ice Hockey,Germany,3,52.51666667,13.4
1932,Figure Skating,Mixed Pairs,Hungary,3,47.5,19.083333
1932,Cross-Country Skiing,Men's 50 Kilometers,Norway,3,59.91666667,10.75
1932,Figure Skating,Women's Singles,Norway,1,59.91666667,10.75
1932,Nordic Combined,Men's Individual,Norway,1,59.91666667,10.75
1932,Nordic Combined,Men's Individual,Norway,2,59.91666667,10.75
1932,Nordic Combined,Men's Individual,Norway,3,59.91666667,10.75
1932,Ski Jumping,"Men's Normal Hill, Individual",Norway,1,59.91666667,10.75
1932,Ski Jumping,"Men's Normal Hill, Individual",Norway,2,59.91666667,10.75
1932,Ski Jumping,"Men's Normal Hill, Individual",Norway,3,59.91666667,10.75
1932,Speedskating,Men's 500 Meters,Norway,2,59.91666667,10.75
1932,Speedskating,"Men's 10,000 Meters",Norway,2,59.91666667,10.75
1932,Cross-Country Skiing,Men's 18 Kilometers,Sweden,1,59.33333333,18.05
1932,Cross-Country Skiing,Men's 18 Kilometers,Sweden,2,59.33333333,18.05
1932,Figure Skating,Men's Singles,Sweden,2,59.33333333,18.05
1932,Bobsled,Men's Two,Switzerland,2,46.91666667,7.466667
1932,Bobsled,Men's Two,United States,1,38.9072,77.0369
1932,Bobsled,Men's Two,United States,3,38.9072,77.0369
1932,Bobsled,Men's Four,United States,1,38.9072,77.0369
1932,Bobsled,Men's Four,United States,2,38.9072,77.0369
1932,Figure Skating,Mixed Pairs,United States,2,38.9072,77.0369
1932,Figure Skating,Women's Singles,United States,3,38.9072,77.0369
1932,Ice Hockey,Men's Ice Hockey,United States,2,38.9072,77.0369
1932,Speedskating,Men's 500 Meters,United States,1,38.9072,77.0369
1932,Speedskating,"Men's 1,500 Meters",United States,1,38.9072,77.0369
1932,Speedskating,"Men's 5,000 Meters",United States,1,38.9072,77.0369
1932,Speedskating,"Men's 5,000 Meters",United States,2,38.9072,77.0369
1932,Speedskating,"Men's 10,000 Meters",United States,1,38.9072,77.0369
1936,Figure Skating,Men's Singles,Austria,1,48.2,16.366667
1936,Figure Skating,Men's Singles,Austria,3,48.2,16.366667
1936,Figure Skating,Mixed Pairs,Austria,2,48.2,16.366667
1936,Speedskating,"Men's 10,000 Meters",Austria,3,48.2,16.366667
1936,Ice Hockey,Men's Ice Hockey,Canada,2,45.41666667,-75.7
1936,Cross-Country Skiing,Men's 18 Kilometers,Finland,3,60.16666667,24.933333
1936,Cross-Country Skiing,Men's 4 × 10-Kilometer Relay,Finland,1,60.16666667,24.933333
1936,Speedskating,"Men's 1,500 Meters",Finland,3,60.16666667,24.933333
1936,Speedskating,"Men's 5,000 Meters",Finland,2,60.16666667,24.933333
1936,Speedskating,"Men's 5,000 Meters",Finland,3,60.16666667,24.933333
1936,Speedskating,"Men's 10,000 Meters",Finland,2,60.16666667,24.933333
1936,Alpine Skiing,Men's Combined,France,3,48.86666667,2.333333
1936,Alpine Skiing,Men's Combined,Germany,1,52.51666667,13.4
1936,Alpine Skiing,Men's Combined,Germany,2,52.51666667,13.4
1936,Alpine Skiing,Women's Combined,Germany,1,52.51666667,13.4
1936,Alpine Skiing,Women's Combined,Germany,2,52.51666667,13.4
1936,Figure Skating,Men's Singles,Germany,2,52.51666667,13.4
1936,Figure Skating,Mixed Pairs,Germany,1,52.51666667,13.4
1936,Bobsled,Men's Four,Great Britain,3,51.5,-0.083333
1936,Figure Skating,Women's Singles,Great Britain,2,51.5,-0.083333
1936,Ice Hockey,Men's Ice Hockey,Great Britain,1,51.5,-0.083333
1936,Figure Skating,Mixed Pairs,Hungary,3,47.5,19.083333
1936,Alpine Skiing,Women's Combined,Norway,3,59.91666667,10.75
1936,Cross-Country Skiing,Men's 18 Kilometers,Norway,2,59.91666667,10.75
1936,Cross-Country Skiing,Men's 4 × 10-Kilometer Relay,Norway,2,59.91666667,10.75
1936,Figure Skating,Women's Singles,Norway,1,59.91666667,10.75
1936,Nordic Combined,Men's Individual,Norway,1,59.91666667,10.75
1936,Nordic Combined,Men's Individual,Norway,2,59.91666667,10.75
1936,Nordic Combined,Men's Individual,Norway,3,59.91666667,10.75
1936,Ski Jumping,"Men's Normal Hill, Individual",Norway,1,59.91666667,10.75
1936,Ski Jumping,"Men's Normal Hill, Individual",Norway,3,59.91666667,10.75
1936,Speedskating,Men's 500 Meters,Norway,1,59.91666667,10.75
1936,Speedskating,Men's 500 Meters,Norway,2,59.91666667,10.75
1936,Speedskating,"Men's 1,500 Meters",Norway,1,59.91666667,10.75
1936,Speedskating,"Men's 1,500 Meters",Norway,2,59.91666667,10.75
1936,Speedskating,"Men's 5,000 Meters",Norway,1,59.91666667,10.75
1936,Speedskating,"Men's 10,000 Meters",Norway,1,59.91666667,10.75
1936,Cross-Country Skiing,Men's 18 Kilometers,Sweden,1,59.33333333,18.05
1936,Cross-Country Skiing,Men's 50 Kilometers,Sweden,1,59.33333333,18.05
1936,Cross-Country Skiing,Men's 50 Kilometers,Sweden,2,59.33333333,18.05
1936,Cross-Country Skiing,Men's 50 Kilometers,Sweden,3,59.33333333,18.05
1936,Cross-Country Skiing,Men's 4 × 10-Kilometer Relay,Sweden,3,59.33333333,18.05
1936,Figure Skating,Women's Singles,Sweden,3,59.33333333,18.05
1936,Ski Jumping,"Men's Normal Hill, Individual",Sweden,2,59.33333333,18.05
1936,Bobsled,Men's Two,Switzerland,2,46.91666667,7.466667
1936,Bobsled,Men's Four,Switzerland,1,46.91666667,7.466667
1936,Bobsled,Men's Four,Switzerland,2,46.91666667,7.466667
1936,Bobsled,Men's Two,United States,1,38.9072,77.0369
1936,Bobsled,Men's Two,United States,3,38.9072,77.0369
1936,Ice Hockey,Men's Ice Hockey,United States,3,38.9072,77.0369
1936,Speedskating,Men's 500 Meters,United States,3,38.9072,77.0369
1948,Alpine Skiing,Men's Downhill,Austria,2,48.2,16.366667
1948,Alpine Skiing,Women's Downhill,Austria,2,48.2,16.366667
1948,Alpine Skiing,Women's Downhill,Austria,3,48.2,16.366667
1948,Alpine Skiing,Women's Slalom,Austria,3,48.2,16.366667
1948,Alpine Skiing,Women's Combined,Austria,1,48.2,16.366667
1948,Alpine Skiing,Women's Combined,Austria,3,48.2,16.366667
1948,Figure Skating,Men's Singles,Austria,3,48.2,16.366667
1948,Figure Skating,Women's Singles,Austria,2,48.2,16.366667
1948,Bobsled,Men's Four,Belgium,2,50.83333333,4.333333
1948,Figure Skating,Mixed Pairs,Belgium,1,50.83333333,4.333333
1948,Figure Skating,Mixed Pairs,Canada,3,45.41666667,-75.7
1948,Figure Skating,Women's Singles,Canada,1,45.41666667,-75.7
1948,Ice Hockey,Men's Ice Hockey,Canada,1,45.41666667,-75.7
1948,Ice Hockey,Men's Ice Hockey,Czechoslovakia,2,50.08333333,14.466667
1948,Cross-Country Skiing,Men's 50 Kilometers,Finland,3,60.16666667,24.933333
1948,Cross-Country Skiing,Men's 4 × 10-Kilometer Relay,Finland,2,60.16666667,24.933333
1948,Nordic Combined,Men's Individual,Finland,1,60.16666667,24.933333
1948,Nordic Combined,Men's Individual,Finland,2,60.16666667,24.933333
1948,Speedskating,"Men's 10,000 Meters",Finland,2,60.16666667,24.933333
1948,Speedskating,"Men's 10,000 Meters",Finland,3,60.16666667,24.933333
1948,Alpine Skiing,Men's Downhill,France,1,48.86666667,2.333333
1948,Alpine Skiing,Men's Slalom,France,2,48.86666667,2.333333
1948,Alpine Skiing,Men's Slalom,France,3,48.86666667,2.333333
1948,Alpine Skiing,Men's Combined,France,1,48.86666667,2.333333
1948,Alpine Skiing,Men's Combined,France,3,48.86666667,2.333333
1948,Figure Skating,Women's Singles,Great Britain,3,51.5,-0.083333
1948,Skeleton,Men's Skeleton,Great Britain,3,51.5,-0.083333
1948,Figure Skating,Mixed Pairs,Hungary,2,47.5,19.083333
1948,Skeleton,Men's Skeleton,Italy,1,41.9,12.483333
1948,Cross-Country Skiing,Men's 4 × 10-Kilometer Relay,Norway,3,59.91666667,10.75
1948,Ski Jumping,"Men's Normal Hill, Individual",Norway,1,59.91666667,10.75
1948,Ski Jumping,"Men's Normal Hill, Individual",Norway,2,59.91666667,10.75
1948,Ski Jumping,"Men's Normal Hill, Individual",Norway,3,59.91666667,10.75
1948,Speedskating,Men's 500 Meters,Norway,1,59.91666667,10.75
1948,Speedskating,Men's 500 Meters,Norway,2,59.91666667,10.75
1948,Speedskating,"Men's 1,500 Meters",Norway,1,59.91666667,10.75
1948,Speedskating,"Men's 1,500 Meters",Norway,3,59.91666667,10.75
1948,Speedskating,"Men's 5,000 Meters",Norway,1,59.91666667,10.75
1948,Speedskating,"Men's 5,000 Meters",Norway,2,59.91666667,10.75
1948,Cross-Country Skiing,Men's 18 Kilometers,Sweden,1,59.33333333,18.05
1948,Cross-Country Skiing,Men's 18 Kilometers,Sweden,2,59.33333333,18.05
1948,Cross-Country Skiing,Men's 18 Kilometers,Sweden,3,59.33333333,18.05
1948,Cross-Country Skiing,Men's 50 Kilometers,Sweden,1,59.33333333,18.05
1948,Cross-Country Skiing,Men's 50 Kilometers,Sweden,2,59.33333333,18.05
1948,Cross-Country Skiing,Men's 4 × 10-Kilometer Relay,Sweden,1,59.33333333,18.05
1948,Nordic Combined,Men's Individual,Sweden,3,59.33333333,18.05
1948,Speedskating,"Men's 1,500 Meters",Sweden,2,59.33333333,18.05
1948,Speedskating,"Men's 5,000 Meters",Sweden,3,59.33333333,18.05
1948,Speedskating,"Men's 10,000 Meters",Sweden,1,59.33333333,18.05
1948,Alpine Skiing,Men's Downhill,Switzerland,3,46.91666667,7.466667
1948,Alpine Skiing,Men's Downhill,Switzerland,3,46.91666667,7.466667
1948,Alpine Skiing,Men's Slalom,Switzerland,1,46.91666667,7.466667
1948,Alpine Skiing,Men's Combined,Switzerland,2,46.91666667,7.466667
1948,Alpine Skiing,Women's Downhill,Switzerland,1,46.91666667,7.466667
1948,Alpine Skiing,Women's Slalom,Switzerland,2,46.91666667,7.466667
1948,Bobsled,Men's Two,Switzerland,1,46.91666667,7.466667
1948,Bobsled,Men's Two,Switzerland,2,46.91666667,7.466667
1948,Figure Skating,Men's Singles,Switzerland,2,46.91666667,7.466667
1948,Ice Hockey,Men's Ice Hockey,Switzerland,3,46.91666667,7.466667
1948,Alpine Skiing,Women's Slalom,United States,1,38.9072,77.0369
1948,Alpine Skiing,Women's Combined,United States,2,38.9072,77.0369
1948,Bobsled,Men's Two,United States,3,38.9072,77.0369
1948,Bobsled,Men's Four,United States,1,38.9072,77.0369
1948,Bobsled,Men's Four,United States,3,38.9072,77.0369
1948,Figure Skating,Men's Singles,United States,1,38.9072,77.0369
1948,Skeleton,Men's Skeleton,United States,2,38.9072,77.0369
1948,Speedskating,Men's 500 Meters,United States,2,38.9072,77.0369
1948,Speedskating,Men's 500 Meters,United States,2,38.9072,77.0369
1952,Alpine Skiing,Men's Downhill,Austria,2,48.2,16.366667
1952,Alpine Skiing,Men's Downhill,Austria,3,48.2,16.366667
1952,Alpine Skiing,Men's Giant Slalom,Austria,2,48.2,16.366667
1952,Alpine Skiing,Men's Giant Slalom,Austria,3,48.2,16.366667
1952,Alpine Skiing,Men's Slalom,Austria,1,48.2,16.366667
1952,Alpine Skiing,Women's Downhill,Austria,1,48.2,16.366667
1952,Alpine Skiing,Women's Giant Slalom,Austria,2,48.2,16.366667
1952,Figure Skating,Men's Singles,Austria,2,48.2,16.366667
1952,Ice Hockey,Men's Ice Hockey,Canada,1,45.41666667,-75.7
1952,Speedskating,Men's 500 Meters,Canada,3,45.41666667,-75.7
1952,Cross-Country Skiing,Men's 18 Kilometers,Finland,2,60.16666667,24.933333
1952,Cross-Country Skiing,Men's 18 Kilometers,Finland,3,60.16666667,24.933333
1952,Cross-Country Skiing,Men's 50 Kilometers,Finland,1,60.16666667,24.933333
1952,Cross-Country Skiing,Men's 50 Kilometers,Finland,2,60.16666667,24.933333
1952,Cross-Country Skiing,Men's 4 × 10-Kilometer Relay,Finland,1,60.16666667,24.933333
1952,Cross-Country Skiing,Women's 10 Kilometers,Finland,1,60.16666667,24.933333
1952,Cross-Country Skiing,Women's 10 Kilometers,Finland,2,60.16666667,24.933333
1952,Cross-Country Skiing,Women's 10 Kilometers,Finland,3,60.16666667,24.933333
1952,Nordic Combined,Men's Individual,Finland,2,60.16666667,24.933333
1952,Figure Skating,Women's Singles,France,3,48.86666667,2.333333
1952,Alpine Skiing,Women's Downhill,Germany,2,52.51666667,13.4
1952,Alpine Skiing,Women's Giant Slalom,Germany,3,52.51666667,13.4
1952,Alpine Skiing,Women's Slalom,Germany,2,52.51666667,13.4
1952,Alpine Skiing,Women's Slalom,Germany,3,52.51666667,13.4
1952,Bobsled,Men's Two,Germany,1,52.51666667,13.4
1952,Bobsled,Men's Four,Germany,1,52.51666667,13.4
1952,Figure Skating,Mixed Pairs,Germany,1,52.51666667,13.4
1952,Figure Skating,Women's Singles,Great Britain,1,51.5,-0.083333
1952,Figure Skating,Mixed Pairs,Hungary,3,47.5,19.083333
1952,Alpine Skiing,Men's Downhill,Italy,1,41.9,12.483333
1952,Alpine Skiing,Women's Downhill,Italy,3,41.9,12.483333
1952,Speedskating,"Men's 1,500 Meters",Netherlands,2,52.35,4.916667
1952,Speedskating,"Men's 5,000 Meters",Netherlands,2,52.35,4.916667
1952,Speedskating,"Men's 10,000 Meters",Netherlands,2,52.35,4.916667
1952,Alpine Skiing,Men's Giant Slalom,Norway,1,59.91666667,10.75
1952,Alpine Skiing,Men's Slalom,Norway,2,59.91666667,10.75
1952,Alpine Skiing,Men's Slalom,Norway,3,59.91666667,10.75
1952,Cross-Country Skiing,Men's 18 Kilometers,Norway,1,59.91666667,10.75
1952,Cross-Country Skiing,Men's 50 Kilometers,Norway,3,59.91666667,10.75
1952,Cross-Country Skiing,Men's 4 × 10-Kilometer Relay,Norway,2,59.91666667,10.75
1952,Nordic Combined,Men's Individual,Norway,1,59.91666667,10.75
1952,Nordic Combined,Men's Individual,Norway,3,59.91666667,10.75
1952,Ski Jumping,"Men's Normal Hill, Individual",Norway,1,59.91666667,10.75
1952,Ski Jumping,"Men's Normal Hill, Individual",Norway,2,59.91666667,10.75
1952,Speedskating,Men's 500 Meters,Norway,3,59.91666667,10.75
1952,Speedskating,"Men's 1,500 Meters",Norway,1,59.91666667,10.75
1952,Speedskating,"Men's 1,500 Meters",Norway,3,59.91666667,10.75
1952,Speedskating,"Men's 5,000 Meters",Norway,1,59.91666667,10.75
1952,Speedskating,"Men's 5,000 Meters",Norway,3,59.91666667,10.75
1952,Speedskating,"Men's 10,000 Meters",Norway,1,59.91666667,10.75
1952,Cross-Country Skiing,Men's 4 × 10-Kilometer Relay,Sweden,3,59.33333333,18.05
1952,Ice Hockey,Men's Ice Hockey,Sweden,3,59.33333333,18.05
1952,Ski Jumping,"Men's Normal Hill, Individual",Sweden,3,59.33333333,18.05
1952,Speedskating,"Men's 10,000 Meters",Sweden,3,59.33333333,18.05
1952,Bobsled,Men's Two,Switzerland,3,46.91666667,7.466667
1952,Bobsled,Men's Four,Switzerland,3,46.91666667,7.466667
1952,Alpine Skiing,Women's Giant Slalom,United States,1,38.9072,77.0369
1952,Alpine Skiing,Women's Slalom,United States,1,38.9072,77.0369
1952,Bobsled,Men's Two,United States,2,38.9072,77.0369
1952,Bobsled,Men's Four,United States,2,38.9072,77.0369
1952,Figure Skating,Men's Singles,United States,1,38.9072,77.0369
1952,Figure Skating,Men's Singles,United States,3,38.9072,77.0369
1952,Figure Skating,Mixed Pairs,United States,2,38.9072,77.0369
1952,Figure Skating,Women's Singles,United States,2,38.9072,77.0369
1952,Ice Hockey,Men's Ice Hockey,United States,2,38.9072,77.0369
1952,Speedskating,Men's 500 Meters,United States,1,38.9072,77.0369
1952,Speedskating,Men's 500 Meters,United States,2,38.9072,77.0369
1956,Alpine Skiing,Men's Downhill,Austria,1,48.2,16.366667
1956,Alpine Skiing,Men's Downhill,Austria,3,48.2,16.366667
1956,Alpine Skiing,Men's Giant Slalom,Austria,1,48.2,16.366667
1956,Alpine Skiing,Men's Giant Slalom,Austria,2,48.2,16.366667
1956,Alpine Skiing,Men's Giant Slalom,Austria,3,48.2,16.366667
1956,Alpine Skiing,Men's Slalom,Austria,1,48.2,16.366667
1956,Alpine Skiing,Women's Giant Slalom,Austria,2,48.2,16.366667
1956,Alpine Skiing,Women's Giant Slalom,Austria,3,48.2,16.366667
1956,Alpine Skiing,Women's Slalom,Austria,2,48.2,16.366667
1956,Figure Skating,Mixed Pairs,Austria,1,48.2,16.366667
1956,Figure Skating,Women's Singles,Austria,3,48.2,16.366667
1956,Alpine Skiing,Women's Downhill,Canada,3,45.41666667,-75.7
1956,Figure Skating,Mixed Pairs,Canada,2,45.41666667,-75.7
1956,Ice Hockey,Men's Ice Hockey,Canada,3,45.41666667,-75.7
1956,Cross-Country Skiing,Men's 30 Kilometers,Finland,1,60.16666667,24.933333
1956,Cross-Country Skiing,Men's 50 Kilometers,Finland,2,60.16666667,24.933333
1956,Cross-Country Skiing,Men's 4 × 10-Kilometer Relay,Finland,2,60.16666667,24.933333
1956,Cross-Country Skiing,Women's 3 × 5-Kilometer Relay,Finland,1,60.16666667,24.933333
1956,Ski Jumping,"Men's Normal Hill, Individual",Finland,1,60.16666667,24.933333
1956,Ski Jumping,"Men's Normal Hill, Individual",Finland,2,60.16666667,24.933333
1956,Speedskating,"Men's 1,500 Meters",Finland,3,60.16666667,24.933333
1956,Alpine Skiing,Women's Giant Slalom,Germany,1,52.51666667,13.4
1956,Ski Jumping,"Men's Normal Hill, Individual",Germany,3,52.51666667,13.4
1956,Figure Skating,Mixed Pairs,Hungary,3,47.5,19.083333
1956,Bobsled,Men's Two,Italy,1,41.9,12.483333
1956,Bobsled,Men's Two,Italy,2,41.9,12.483333
1956,Bobsled,Men's Four,Italy,2,41.9,12.483333
1956,Alpine Skiing,Men's Slalom,Japan,2,35.68333333,139.75
1956,Cross-Country Skiing,Men's 15 Kilometers,Norway,1,59.91666667,10.75
1956,Nordic Combined,Men's Individual,Norway,1,59.91666667,10.75
1956,Speedskating,Men's 500 Meters,Norway,3,59.91666667,10.75
1956,Speedskating,"Men's 10,000 Meters",Norway,2,59.91666667,10.75
1956,Nordic Combined,Men's Individual,Poland,3,52.25,21
1956,Alpine Skiing,Women's Slalom,Soviet Union,3,55.75,37.6
1956,Cross-Country Skiing,Men's 15 Kilometers,Soviet Union,3,55.75,37.6
1956,Cross-Country Skiing,Men's 30 Kilometers,Soviet Union,3,55.75,37.6
1956,Cross-Country Skiing,Men's 50 Kilometers,Soviet Union,3,55.75,37.6
1956,Cross-Country Skiing,Men's 4 × 10-Kilometer Relay,Soviet Union,1,55.75,37.6
1956,Cross-Country Skiing,Women's 10 Kilometers,Soviet Union,1,55.75,37.6
1956,Cross-Country Skiing,Women's 10 Kilometers,Soviet Union,2,55.75,37.6
1956,Cross-Country Skiing,Women's 3 × 5-Kilometer Relay,Soviet Union,2,55.75,37.6
1956,Ice Hockey,Men's Ice Hockey,Soviet Union,1,55.75,37.6
1956,Speedskating,Men's 500 Meters,Soviet Union,1,55.75,37.6
1956,Speedskating,Men's 500 Meters,Soviet Union,2,55.75,37.6
1956,Speedskating,"Men's 1,500 Meters",Soviet Union,1,55.75,37.6
1956,Speedskating,"Men's 1,500 Meters",Soviet Union,1,55.75,37.6
1956,Speedskating,"Men's 5,000 Meters",Soviet Union,1,55.75,37.6
1956,Speedskating,"Men's 5,000 Meters",Soviet Union,3,55.75,37.6
1956,Speedskating,"Men's 10,000 Meters",Soviet Union,3,55.75,37.6
1956,Alpine Skiing,Men's Slalom,Sweden,3,59.33333333,18.05
1956,Cross-Country Skiing,Men's 15 Kilometers,Sweden,2,59.33333333,18.05
1956,Cross-Country Skiing,Men's 30 Kilometers,Sweden,2,59.33333333,18.05
1956,Cross-Country Skiing,Men's 50 Kilometers,Sweden,1,59.33333333,18.05
1956,Cross-Country Skiing,Men's 4 × 10-Kilometer Relay,Sweden,3,59.33333333,18.05
